"","terms","count","probability"
"1","last year",48,0.00346045706870449
"2","first time",31,0.00223487852353832
"3","look like",31,0.00223487852353832
"4","make sure",31,0.00223487852353832
"5","right now",31,0.00223487852353832
"6","year ago",30,0.00216278566794031
"7","cant wait",28,0.00201859995674429
"8","high school",28,0.00201859995674429
"9","new york",28,0.00201859995674429
"10","feel like",26,0.00187441424554827
"11","last week",24,0.00173022853435225
"12","onli one",22,0.00158604282315623
"13","dont know",20,0.0014418571119602
"14","can get",19,0.00136976425636219
"15","im go",19,0.00136976425636219
"16","year old",19,0.00136976425636219
"17","unite state",18,0.00129767140076418
"18","don’t know",17,0.00122557854516617
"19","go back",17,0.00122557854516617
"20","last night",17,0.00122557854516617
"21","said “",17,0.00122557854516617
"22","seem like",16,0.00115348568956816
"23","st loui",16,0.00115348568956816
"24","two year",16,0.00115348568956816
"25","littl bit",15,0.00108139283397015
"26","next year",14,0.00100929997837214
"27","good luck",13,0.000937207122774133
"28","one day",13,0.000937207122774133
"29","tri get",13,0.000937207122774133
"30","will take",13,0.000937207122774133
"31","citi council",12,0.000865114267176123
"32","come back",12,0.000865114267176123
"33","dont want",12,0.000865114267176123
"34","go get",12,0.000865114267176123
"35","im sure",12,0.000865114267176123
"36","kansa motel",12,0.000865114267176123
"37","look forward",12,0.000865114267176123
"38","los angele",12,0.000865114267176123
"39","manhattan kansa",12,0.000865114267176123
"40","new jersey",12,0.000865114267176123
"41","sound like",12,0.000865114267176123
"42","suprem court",12,0.000865114267176123
"43","year later",12,0.000865114267176123
"44","chief execut",11,0.000793021411578113
"45","everi day",11,0.000793021411578113
"46","five year",11,0.000793021411578113
"47","get back",11,0.000793021411578113
"48","ive got",11,0.000793021411578113
"49","mani peopl",11,0.000793021411578113
"50","next month",11,0.000793021411578113
"51","want see",11,0.000793021411578113
"52","will make",11,0.000793021411578113
"53","can also",10,0.000720928555980102
"54","can make",10,0.000720928555980102
"55","dont get",10,0.000720928555980102
"56","dont think",10,0.000720928555980102
"57","even though",10,0.000720928555980102
"58","get readi",10,0.000720928555980102
"59","last month",10,0.000720928555980102
"60","long time",10,0.000720928555980102
"61","mani year",10,0.000720928555980102
"62","peopl can",10,0.000720928555980102
"63","someth like",10,0.000720928555980102
"64","tell stori",10,0.000720928555980102
"65","time year",10,0.000720928555980102
"66","will find",10,0.000720928555980102
"67","will never",10,0.000720928555980102
"68","free agent",9,0.000648835700382092
"69","just got",9,0.000648835700382092
"70","least one",9,0.000648835700382092
"71","one year",9,0.000648835700382092
"72","per cent",9,0.000648835700382092
"73","realli good",9,0.000648835700382092
"74","san diego",9,0.000648835700382092
"75","take place",9,0.000648835700382092
"76","take time",9,0.000648835700382092
"77","want say",9,0.000648835700382092
"78","week ago",9,0.000648835700382092
"79","’m go",8,0.000576742844784082
"80","back home",8,0.000576742844784082
"81","can see",8,0.000576742844784082
"82","can tell",8,0.000576742844784082
"83","didnt get",8,0.000576742844784082
"84","don’t want",8,0.000576742844784082
"85","earli s",8,0.000576742844784082
"86","give us",8,0.000576742844784082
"87","good news",8,0.000576742844784082
"88","good time",8,0.000576742844784082
"89","happi birthday",8,0.000576742844784082
"90","just need",8,0.000576742844784082
"91","just one",8,0.000576742844784082
"92","last time",8,0.000576742844784082
"93","let go",8,0.000576742844784082
"94","like one",8,0.000576742844784082
"95","love love",8,0.000576742844784082
"96","men women",8,0.000576742844784082
"97","mother day",8,0.000576742844784082
"98","next week",8,0.000576742844784082
"99","one person",8,0.000576742844784082
"100","peopl will",8,0.000576742844784082
"101","said will",8,0.000576742844784082
"102","someon els",8,0.000576742844784082
"103","three year",8,0.000576742844784082
"104","veri well",8,0.000576742844784082
"105","wait see",8,0.000576742844784082
"106","will also",8,0.000576742844784082
"107","will get",8,0.000576742844784082
"108","’ just",7,0.000504649989186072
"109","anyon els",7,0.000504649989186072
"110","blog post",7,0.000504649989186072
"111","can take",7,0.000504649989186072
"112","chocol chip",7,0.000504649989186072
"113","didnt even",7,0.000504649989186072
"114","didnt know",7,0.000504649989186072
"115","famili friend",7,0.000504649989186072
"116","fire depart",7,0.000504649989186072
"117","im realli",7,0.000504649989186072
"118","ive never",7,0.000504649989186072
"119","just go",7,0.000504649989186072
"120","just like",7,0.000504649989186072
"121","just want",7,0.000504649989186072
"122","just way",7,0.000504649989186072
"123","know im",7,0.000504649989186072
"124","last two",7,0.000504649989186072
"125","let know",7,0.000504649989186072
"126","look back",7,0.000504649989186072
"127","month ago",7,0.000504649989186072
"128","much time",7,0.000504649989186072
"129","now im",7,0.000504649989186072
"130","offici said",7,0.000504649989186072
"131","oliv oil",7,0.000504649989186072
"132","one best",7,0.000504649989186072
"133","one can",7,0.000504649989186072
"134","peopl dont",7,0.000504649989186072
"135","polic said",7,0.000504649989186072
"136","post blog",7,0.000504649989186072
"137","pretti much",7,0.000504649989186072
"138","realli want",7,0.000504649989186072
"139","school district",7,0.000504649989186072
"140","special effect",7,0.000504649989186072
"141","take away",7,0.000504649989186072
"142","th th",7,0.000504649989186072
"143","thank much",7,0.000504649989186072
"144","time get",7,0.000504649989186072
"145","time will",7,0.000504649989186072
"146","two day",7,0.000504649989186072
"147","veri much",7,0.000504649989186072
"148","want win",7,0.000504649989186072
"149","will go",7,0.000504649989186072
"150","’ realli",6,0.000432557133588061
"151","’ve alway",6,0.000432557133588061
"152","“ think",6,0.000432557133588061
"153","abl get",6,0.000432557133588061
"154","ani time",6,0.000432557133588061
"155","around world",6,0.000432557133588061
"156","associat press",6,0.000432557133588061
"157","best friend",6,0.000432557133588061
"158","best way",6,0.000432557133588061
"159","can chang",6,0.000432557133588061
"160","come soon",6,0.000432557133588061
"161","council member",6,0.000432557133588061
"162","coupl week",6,0.000432557133588061
"163","day later",6,0.000432557133588061
"164","didnt want",6,0.000432557133588061
"165","differ way",6,0.000432557133588061
"166","dont need",6,0.000432557133588061
"167","dont worri",6,0.000432557133588061
"168","everi time",6,0.000432557133588061
"169","final got",6,0.000432557133588061
"170","follow back",6,0.000432557133588061
"171","footbal player",6,0.000432557133588061
"172","fourth quarter",6,0.000432557133588061
"173","friday night",6,0.000432557133588061
"174","get good",6,0.000432557133588061
"175","get wrong",6,0.000432557133588061
"176","good stuff",6,0.000432557133588061
"177","good thing",6,0.000432557133588061
"178","home depot",6,0.000432557133588061
"179","hope will",6,0.000432557133588061
"180","im just",6,0.000432557133588061
"181","jesus christ",6,0.000432557133588061
"182","just anoth",6,0.000432557133588061
"183","just get",6,0.000432557133588061
"184","just read",6,0.000432557133588061
"185","just say",6,0.000432557133588061
"186","let us",6,0.000432557133588061
"187","like make",6,0.000432557133588061
"188","like see",6,0.000432557133588061
"189","love see",6,0.000432557133588061
"190","make sens",6,0.000432557133588061
"191","make us",6,0.000432557133588061
"192","mani thing",6,0.000432557133588061
"193","new year",6,0.000432557133588061
"194","next time",6,0.000432557133588061
"195","number peopl",6,0.000432557133588061
"196","one first",6,0.000432557133588061
"197","one last",6,0.000432557133588061
"198","one thing",6,0.000432557133588061
"199","one two",6,0.000432557133588061
"200","onli thing",6,0.000432557133588061
"201","peanut butter",6,0.000432557133588061
"202","potenti winner",6,0.000432557133588061
"203","preheat oven",6,0.000432557133588061
"204","quit bit",6,0.000432557133588061
"205","realli need",6,0.000432557133588061
"206","san francisco",6,0.000432557133588061
"207","say time",6,0.000432557133588061
"208","say want",6,0.000432557133588061
"209","see happen",6,0.000432557133588061
"210","south carolina",6,0.000432557133588061
"211","squar feet",6,0.000432557133588061
"212","team will",6,0.000432557133588061
"213","thank follow",6,0.000432557133588061
"214","time sinc",6,0.000432557133588061
"215","tri make",6,0.000432557133588061
"216","two week",6,0.000432557133588061
"217","veri good",6,0.000432557133588061
"218","walk away",6,0.000432557133588061
"219","want go",6,0.000432557133588061
"220","want know",6,0.000432557133588061
"221","want talk",6,0.000432557133588061
"222","web site",6,0.000432557133588061
"223","will give",6,0.000432557133588061
"224","will like",6,0.000432557133588061
"225","year now",6,0.000432557133588061
"226","yet anoth",6,0.000432557133588061
"227","york citi",6,0.000432557133588061
"228","’ go",5,0.000360464277990051
"229","’m sure",5,0.000360464277990051
"230","“ want",5,0.000360464277990051
"231","along way",5,0.000360464277990051
"232","also said",5,0.000360464277990051
"233","ani way",5,0.000360464277990051
"234","answer question",5,0.000360464277990051
"235","ask whi",5,0.000360464277990051
"236","bake minut",5,0.000360464277990051
"237","bake sheet",5,0.000360464277990051
"238","bay area",5,0.000360464277990051
"239","befor game",5,0.000360464277990051
"240","brand new",5,0.000360464277990051
"241","came back",5,0.000360464277990051
"242","can found",5,0.000360464277990051
"243","can give",5,0.000360464277990051
"244","can go",5,0.000360464277990051
"245","can onli",5,0.000360464277990051
