"","terms","count","probability"
"1","said",588,0.0067625071880391
"2","will",563,0.00647498562392179
"3","one",547,0.00629097182288672
"4","just",481,0.00553191489361702
"5","time",461,0.00530189764232317
"6","like",457,0.0052558941920644
"7","get",455,0.00523289246693502
"8","can",418,0.0048073605520414
"9","year",394,0.00453133985048879
"10","make",384,0.00441633122484186
"11","know",298,0.00342725704427832
"12","now",298,0.00342725704427832
"13","day",294,0.00338125359401955
"14","peopl",293,0.00336975273145486
"15","good",292,0.00335825186889017
"16","work",280,0.00322024151811386
"17","love",271,0.00311673375503163
"18","want",271,0.00311673375503163
"19","also",263,0.00302472685451409
"20","see",261,0.0030017251293847
"21","say",260,0.00299022426682001
"22","first",259,0.00297872340425532
"23","new",259,0.00297872340425532
"24","use",257,0.00295572167912593
"25","back",256,0.00294422081656124
"26","think",256,0.00294422081656124
"27","come",232,0.00266820011500863
"28","look",231,0.00265669925244393
"29","two",231,0.00265669925244393
"30","thing",226,0.00259919493962047
"31","last",223,0.00256469235192639
"32","need",216,0.00248418631397355
"33","right",214,0.00246118458884416
"34","take",212,0.00243818286371478
"35","becaus",210,0.00241518113858539
"36","even",207,0.00238067855089132
"37","well",203,0.00233467510063255
"38","way",202,0.00232317423806786
"39","onli",199,0.00228867165037378
"40","much",198,0.00227717078780909
"41","game",194,0.00223116733755032
"42","dont",191,0.00219666474985624
"43","realli",190,0.00218516388729155
"44","great",189,0.00217366302472685
"45","mani",178,0.00204715353651524
"46","state",178,0.00204715353651524
"47","call",166,0.00190914318573893
"48","littl",166,0.00190914318573893
"49","week",165,0.00189764232317424
"50","got",164,0.00188614146060955
"51","thank",164,0.00188614146060955
"52","befor",162,0.00186313973548016
"53","start",162,0.00186313973548016
"54","show",160,0.00184013801035078
"55","life",159,0.00182863714778608
"56","play",158,0.00181713628522139
"57","still",158,0.00181713628522139
"58","school",154,0.00177113283496262
"59","tri",154,0.00177113283496262
"60","made",141,0.00162162162162162
"61","veri",141,0.00162162162162162
"62","book",140,0.00161012075905693
"63","feel",138,0.00158711903392754
"64","help",138,0.00158711903392754
"65","home",138,0.00158711903392754
"66","find",137,0.00157561817136285
"67","may",137,0.00157561817136285
"68","today",137,0.00157561817136285
"69","citi",135,0.00155261644623347
"70","end",131,0.0015066129959747
"71","give",131,0.0015066129959747
"72","ani",130,0.00149511213341001
"73","live",130,0.00149511213341001
"74","hous",128,0.00147211040828062
"75","never",128,0.00147211040828062
